time,cursor,event,widget,terminal_input
15.178418791037984,"(414,466)",Key press: Return,Terminal,saad@MacBook-Pro-de-Saad.local:/Users/saad/M1/S2/P_AND$ ls
15.816073499969207,"(414,466)",timeout,,saad@MacBook-Pro-de-Saad.local:/Users/saad/M1/S2/P_AND$ 
15.936192416003905,"(414,466)",Key press: c,Terminal,saad@MacBook-Pro-de-Saad.local:/Users/saad/M1/S2/P_AND$ 
16.015091250068508,"(414,466)",Key press: d,Terminal,saad@MacBook-Pro-de-Saad.local:/Users/saad/M1/S2/P_AND$ c
16.226049500051886,"(414,466)",Key press: Space,Terminal,saad@MacBook-Pro-de-Saad.local:/Users/saad/M1/S2/P_AND$ cd
16.328736250055954,"(414,466)",Key press: ,Terminal,saad@MacBook-Pro-de-Saad.local:/Users/saad/M1/S2/P_AND$ cd 
16.329778791056015,"(414,466)",Key press: ,,saad@MacBook-Pro-de-Saad.local:/Users/saad/M1/S2/P_AND$ cd 
16.476200625067577,"(414,466)",Key press: .,Terminal,saad@MacBook-Pro-de-Saad.local:/Users/saad/M1/S2/P_AND$ cd 
16.643998333020136,"(414,466)",Key press: .,Terminal,saad@MacBook-Pro-de-Saad.local:/Users/saad/M1/S2/P_AND$ cd .
17.278101666015573,"(414,466)",Key press: Return,Terminal,saad@MacBook-Pro-de-Saad.local:/Users/saad/M1/S2/P_AND$ cd ..
17.686887457966805,"(414,466)",Key press: c,Terminal,saad@MacBook-Pro-de-Saad.local:/Users/saad/M1/S2$ 
17.774899375042878,"(414,466)",Key press: d,Terminal,saad@MacBook-Pro-de-Saad.local:/Users/saad/M1/S2$ c
17.81602179107722,"(414,466)",timeout,,saad@MacBook-Pro-de-Saad.local:/Users/saad/M1/S2$ cd
17.973506250069477,"(414,466)",Key press: Space,Terminal,saad@MacBook-Pro-de-Saad.local:/Users/saad/M1/S2$ cd
18.209868416073732,"(414,466)",Key press: ,Terminal,saad@MacBook-Pro-de-Saad.local:/Users/saad/M1/S2$ cd 
18.210088916006498,"(414,466)",Key press: ,,saad@MacBook-Pro-de-Saad.local:/Users/saad/M1/S2$ cd 
18.32192937505897,"(414,466)",Key press: /,Terminal,saad@MacBook-Pro-de-Saad.local:/Users/saad/M1/S2$ cd 
18.483844375004992,"(414,466)",Key press: /,Terminal,saad@MacBook-Pro-de-Saad.local:/Users/saad/M1/S2$ cd /
19.226518583018333,"(414,466)",Key press: Backspace,Terminal,saad@MacBook-Pro-de-Saad.local:/Users/saad/M1/S2$ cd //
19.580017582979053,"(414,466)",Key press: Return,Terminal,saad@MacBook-Pro-de-Saad.local:/Users/saad/M1/S2$ cd /
19.816048125037923,"(414,466)",timeout,,saad@MacBook-Pro-de-Saad.local:/$ 
21.045972540974617,"(414,466)",Key press: l,Terminal,saad@MacBook-Pro-de-Saad.local:/$ 
21.132915665977634,"(414,466)",Key press: s,Terminal,saad@MacBook-Pro-de-Saad.local:/$ l
21.27320925006643,"(414,466)",Key press: Return,Terminal,saad@MacBook-Pro-de-Saad.local:/$ ls
21.81567400007043,"(414,466)",timeout,,saad@MacBook-Pro-de-Saad.local:/$ 
